Age,Income,Spending
55,47700,37822
40,38211,5614
34,115701,27186
43,111598,37297
64,61940,48578
55,84441,5272
19,49088,40759
23,111541,47481
24,56720,33019
30,59827,25830
44,47800,44841
28,84078,39299
32,31193,27340
26,72826,11505
25,87446,46801
63,39820,9205
23,78223,21917
60,96443,14272
21,75639,21601
28,110759,2323
45,63865,29261
43,81032,2268
21,65560,22263
32,88593,11709
36,91243,25576
23,116734,22795
22,77085,23113
35,74559,20854
23,104756,45534
48,93382,22507
42,31716,2348
21,77170,34893
23,115831,49616
58,37533,5722
54,56952,27601
42,38527,41738
51,44809,42385
36,104969,38645
51,51395,41831
32,70766,43097
25,38989,28025
61,41133,17746
64,52627,24208
51,62282,8661
35,41111,26546
47,59951,7950
30,37752,49682
64,112175,38187
50,119955,47363
52,69538,22135
41,95198,16090
43,88890,41420
64,46074,33359
61,61231,37530
59,117391,39956
64,59659,25916
18,31677,1564
30,51454,38036
27,101685,5177
36,54983,26221
22,101271,1711
25,45409,39724
21,80533,1106
30,48293,34522
55,86248,35395
63,94939,30856
63,99784,8659
36,115329,34705
25,92997,12474
44,118030,38277
64,75119,33653
47,84617,37850
21,119381,6484
28,114913,28273
38,117208,21534
60,100129,27785
19,106138,9721
38,86543,46553
34,105040,47641
60,69105,4134
46,35241,14127
44,112293,24504
41,30833,43070
20,85332,11747
56,44074,18673
27,32073,45974
20,107772,5748
62,101752,47168
59,77628,31077
43,60403,2397
54,52922,28030
44,118583,32928
22,47332,49718
59,45452,28181
28,48888,2825
30,68115,18086
58,65025,24044
51,96711,20269
55,117669,5733
57,80357,38964
50,116540,34449
51,95031,44404
44,117471,45741
53,40350,2769
43,95374,33371
42,68547,44402
36,64026,13486
38,64669,48815
48,35042,23939
46,111473,19539
26,79746,14010
36,113406,5723
43,93483,5550
42,59785,3982
57,62869,40025
60,57000,30386
46,83432,29415
42,44920,11024
36,73042,33808
21,80138,33667
62,71483,21574
37,114588,29667
63,40600,27722
18,69332,46627
28,50350,35715
21,82401,34464
24,50428,8295
45,68704,30626
53,116602,2311
24,110477,3864
37,75770,8147
52,65569,38251
56,37463,33293
38,88114,19087
61,35103,22516
18,62843,12092
54,31966,37299
63,34090,15668
59,66483,39520
20,81472,5466
51,45679,33731
30,45168,22423
33,99414,38177
51,99892,34292
41,110387,23951
30,83841,9095
23,98752,10839
56,97966,6789
19,94327,40351
28,71624,36265
24,54726,43277
24,50028,15848
56,72203,9983
56,35000,6005
29,60425,33904
39,69206,15804
20,97124,15389
30,81544,3258
47,78447,45813
27,106693,15728
26,81615,45422
23,38947,25987
61,61397,12429
19,115654,34187
61,91052,33296
33,55898,40262
30,85483,1972
30,106511,33185
39,118009,19733
36,46243,4920
43,109283,28962
31,58439,41087
48,110979,20198
46,52297,1746
62,117865,1968
59,86517,41951
39,79453,32734
24,31339,19896
54,113884,28893
58,113098,44901
44,66472,14842
48,94427,6066
23,54992,2935
33,35774,7013
55,115319,5952
55,48109,31692
49,63281,8555
50,66342,38871
34,110303,45207
50,103084,36864
28,53723,31504
30,114442,15473
47,47610,14640
18,52613,39895
47,58327,31483
44,103195,24254
57,99888,43307
40,82410,7094
37,57660,45159
23,110683,41770
54,35046,15039
37,104518,21715
54,77903,6144
23,108196,21052
46,91226,23179
30,98932,38408
44,66730,14090
37,38913,34628
30,106016,39949
56,111263,30522
25,54838,18463
34,99040,6994
47,93160,11787
18,32441,17359
41,89202,48453
33,31188,47740
28,84772,6349
21,45424,14102
21,112890,41290
34,59837,33859
27,61979,9689
38,88882,11830
55,98005,38738
35,119031,15494
27,64526,16707
62,66817,13339
33,88883,24044
56,46495,47788
32,109842,34670
51,102528,49873
22,97315,33553
34,100226,41195
54,116834,36495
25,81133,11732
41,98074,40323
45,92418,49781
64,107852,40168
25,64595,11058
40,74826,3781
52,98977,1846
48,35479,2152
34,35674,20712
45,91230,7240
29,87515,17139
41,104835,23557
32,83310,22177
57,74234,10502
48,85945,28410
44,113163,38482
52,100371,25592
35,49296,27487
53,107555,45369
25,98990,47283
63,91153,11249
55,33901,19313
22,62236,24258
31,116891,26676
55,89747,6351
37,37831,27524
61,53805,19166
26,98328,44853
50,95815,44962
35,104874,44641
23,107353,41368
54,43116,29059
19,96351,11091
47,72639,29825
23,92500,7100
34,101617,23639
56,105749,23092
58,47194,18944
40,54318,21229
48,62723,14346
37,34829,17460
22,65907,45219
38,99919,4627
60,32845,42935
28,101696,10019
21,56563,37117
40,61002,41420
55,50477,8665
47,50713,40422
59,74517,7508
58,50747,18932
35,33409,12120
58,41063,49916
60,39515,2660
48,69235,32391
47,42820,31227
51,75531,7741
48,30511,3863
64,34366,3042
55,46654,33836
42,56704,22705
34,78611,46999
53,95983,25480
57,67237,39858
47,94667,21955
19,70294,35064
41,74759,2762
26,65351,24702
18,32881,6245
41,98373,18436
55,91881,13572
44,81780,36441
43,119901,8013
43,51272,11841
24,73350,18541
42,44609,22923
33,115940,49051
55,51729,23499
59,41858,25031
35,85050,17309
34,64333,31013
61,62907,8452
64,105934,34767
23,71287,19855
37,66410,49737
40,108814,33873
63,54533,15445
29,52855,31624
29,63260,13548
51,46723,36200
25,60745,25843
44,89565,42139
25,64169,18348
50,37299,25346
54,30884,33271
36,69892,24025
41,34081,26308
39,30851,26670
20,114217,28384
26,32597,46564
28,118508,12506
23,74761,45865
56,88887,48264
56,82156,3273
54,60885,43406
19,45956,36396
54,86314,19270
23,60992,8428
23,76765,30691
56,31512,19767
53,70481,4961
42,119953,43086
33,56433,13560
38,85497,3050
27,52615,47894
22,68212,19720
42,55606,15231
48,87185,4773
20,64162,25961
37,84015,12556
21,41836,37697
31,61960,34032
29,114029,1163
31,119076,6310
54,119275,6999
35,78761,36764
44,73466,17362
24,51277,43646
52,96799,37481
39,66892,27461
38,53704,36075
60,67330,1259
35,89029,43338
55,49718,6236
